id,Caracteristica asignada,Justificación
1558,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1559,Eficacia,"El sistema falla en la precisión y exactitud al crear un registro duplicado para un paciente ya existente. Esto impide que el personal cumpla su objetivo, afectando negativamente la completitud de la tarea."
1560,Eficacia,"El sistema falla en la precisión y exactitud al crear un registro duplicado para un paciente ya existente. Esto impide que el personal cumpla su objetivo, afectando negativamente la completitud de la tarea."
1561,Ausencia de riesgo,"Al no validarse la firma electrónica, se compromete la legalidad y autenticidad del registro clínico. Esto genera un riesgo regulatorio, legal y de seguridad de la información directo para el centro médico y el paciente."
1562,Eficacia,"El sistema falla en la exactitud de la transacción al procesar un cobro doble. Esto impide que el paciente logre su objetivo de realizar un pago único y correcto, afectando directamente la precisión del proceso de facturación."
1563,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1564,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1565,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1566,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1567,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1568,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1569,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1570,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1571,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1572,Eficacia,"El sistema carece de precisión al generar un documento con datos erróneos. Esto impide que el personal de admisión cumpla su objetivo de emitir un comprobante válido y exacto, afectando la efectividad de la gestión administrativa."
1573,Eficacia,Sin el reporte de laboratorio externo la información para los diagnósticos está incompleta y no se puede diagnosticar correctamente
1574,Eficacia,"La imposibilidad de cargar las imágenes en el visor impide totalmente que el médico alcance su objetivo de revisar los estudios para emitir un diagnóstico. Al no poder visualizar la información clínica, la efectividad de la tarea es nula."
1575,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1576,Eficacia,El sistema no permite realizar ninguna acción ni cumplir el objetivo
1577,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1578,Ausencia de riesgo,"Un error al reagendar una cita previamente confirmada puede provocar la pérdida de la atención médica. Esto genera un riesgo para la salud del paciente debido a retrasos en su tratamiento, además de posibles contingencias administrativas."
1579,Eficacia,Sin el reporte de laboratorio externo la información para los diagnósticos está incompleta y no se puede diagnosticar correctamente
1580,Ausencia de riesgo,La discrepancia crea el riesgo de pérdidas económicas o ganancias mal declaradas.
1581,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1582,Eficiencia,"El sistema logra procesar la solictud, pero el tiempo invertido afecta negativamente el rendimiento y la experiencia esperada."
1583,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1584,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1585,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1586,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1587,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1588,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1589,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1590,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1591,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1592,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1593,Eficiencia,"El sistema logra procesar la solictud, pero el tiempo invertido afecta negativamente el rendimiento y la experiencia esperada."
1594,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1595,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1596,Cobertura de contexto,La calidad de las imágenes es distinta entre la web y la app móvil.
1597,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1598,Eficiencia,"El sistema logra procesar la solictud, pero el tiempo invertido afecta negativamente el rendimiento y la experiencia esperada."
1599,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1600,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1601,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1602,Eficiencia,El personal debe esperar demasiado durante las interacciones con el sistema
1603,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1604,Eficacia,"La pérdida de la nota clínica debido al cierre inesperado de sesión impide totalmente que el médico logre su objetivo de registrar la atención del paciente. Esto resulta en un grado de completitud nulo, anulando la efectividad de la tarea."
1605,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1606,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1607,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1608,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1609,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1610,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
1611,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1612,Ausencia de riesgo,Se genera un riesgo de pérdida económica para los usuarios.
1613,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1614,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1615,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1616,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1617,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1618,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1619,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1620,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1621,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1622,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1623,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1624,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1625,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1626,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1627,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1628,Ausencia de riesgo,La discrepancia crea el riesgo de pérdidas económicas o ganancias mal declaradas.
1629,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1630,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
1631,Eficacia,"La pérdida de la nota clínica debido al cierre inesperado de sesión impide totalmente que el médico logre su objetivo de registrar la atención del paciente. Esto resulta en un grado de completitud nulo, anulando la efectividad de la tarea."
1632,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1633,Eficacia,"Este error puede ocasionar que la orden no se complete, por falta del medicamento."
1634,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1635,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1636,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1637,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1638,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1639,Ausencia de riesgo,Este problema pone en riesgo la salud del paciente al permitir que se administre una dosis incorrecta.
1640,Ausencia de riesgo,Se vulnera la privacidad del paciente al acceder a sus datos sin autorización
1641,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
1642,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1643,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1644,Eficiencia,"El sistema logra procesar la solictud, pero el tiempo invertido afecta negativamente el rendimiento y la experiencia esperada."
1645,Eficacia,"El sistema falla en la precisión y completitud de la transacción financiera al no aplicar la nota de crédito. Esto impide que el paciente alcance su objetivo de regularizar su saldo, afectando directamente la exactitud de su estado de cuenta."
1646,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1647,Ausencia de riesgo,"Un error al reagendar una cita previamente confirmada puede provocar la pérdida de la atención médica. Esto genera un riesgo para la salud del paciente debido a retrasos en su tratamiento, además de posibles contingencias administrativas."
1648,Eficacia,"El bloqueo del sistema sin ofrecer retroalimentación impide totalmente que el personal de farmacia logre su objetivo de dispensar la medicación, resultando en un grado de completitud nulo para la tarea."
1649,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1650,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1651,Ausencia de riesgo,"Un error al reagendar una cita previamente confirmada puede provocar la pérdida de la atención médica. Esto genera un riesgo para la salud del paciente debido a retrasos en su tratamiento, además de posibles contingencias administrativas."
1652,Eficacia,"El sistema carece de precisión al permitir la asignación de un mismo turno a dos personas simultáneamente. Esto impide que al personal su objetivo de gestionar la agenda médica de forma correcta, generando un flujo de trabajo con datos inconsistentes."
1653,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1654,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1655,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1656,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1657,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1658,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1659,Eficacia,"La imposibilidad de buscar por texto impide que el personal encuentre y asigne el código CIE-10 con la precisión requerida, obstaculizando la completitud del registro clínico."
1660,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1661,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1662,Eficacia,"El sistema carece de precisión al generar un documento con datos erróneos. Esto impide que el personal de admisión cumpla su objetivo de emitir un comprobante válido y exacto, afectando la efectividad de la gestión administrativa."
1663,Eficiencia,"Existe un mal manejo de recursos que ocasiona que el sistema no responda en un tiempo adecuado, y retrasa el flujo de consultas."
1664,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1665,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1666,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1667,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1668,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1669,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1670,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1671,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1672,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1673,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1674,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1675,Ausencia de riesgo,Este problema pone en riesgo la salud del paciente al permitir que se administre una dosis incorrecta.
1676,Eficacia,El sistema falla en la completitud de la información al no integrar los datos del laboratorio. 
1677,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1678,Eficacia,"Este error puede ocasionar que la orden no se complete, por falta del medicamento."
1679,Ausencia de riesgo,Se genera un riesgo de pérdida económica para los usuarios.
1680,Ausencia de riesgo,Este problema pone en riesgo la salud del paciente al permitir que se administre una dosis incorrecta.
1681,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1682,Ausencia de riesgo,Se genera un riesgo de pérdida económica para los usuarios.
1683,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1684,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1685,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1686,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1687,Eficacia,Sin el reporte de laboratorio externo la información para los diagnósticos está incompleta y no se puede diagnosticar correctamente
1688,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1689,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1690,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1691,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1692,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1693,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1694,Ausencia de riesgo,Este problema pone en riesgo la salud del paciente al permitir que se administre una dosis incorrecta.
1695,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1696,Eficacia,El sistema no permite cumplir el objetivo de ver antecedentes del paciente en consultas anteriores
1697,Eficiencia,"El sistema logra procesar la solictud, pero el tiempo invertido afecta negativamente el rendimiento y la experiencia esperada."
1698,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1699,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1700,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1701,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1702,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1703,Eficacia,"El cierre prematuro de la sesión impide que el médico logre su objetivo de completar y registrar la atención clínica. Esto afecta de manera directa el grado de completitud de la tarea, impidiendo finalizar el flujo correctamente."
1704,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1705,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1706,Eficacia,El médico no podrá realizar diagnósticos precisos debido a la falta de información sobre el paciente.
1707,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1708,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1709,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1710,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1711,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1712,Ausencia de riesgo,Este problema pone en riesgo la salud del paciente al permitir que se administre una dosis incorrecta.
1713,Eficacia,"El fallo en la redirección del botón impide totalmente que el paciente alcance su objetivo específico de ingresar a la videollamada, resultando en un grado de completitud nulo para la tarea de teleconsulta."
1714,Eficacia,Sin el reporte de laboratorio externo la información para los diagnósticos está incompleta y no se puede diagnosticar correctamente
1715,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1716,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1717,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1718,Eficacia,"El sistema carece de precisión al permitir la asignación de un mismo turno a dos personas simultáneamente. Esto impide que al personal su objetivo de gestionar la agenda médica de forma correcta, generando un flujo de trabajo con datos inconsistentes."
1719,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1720,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1721,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1722,Eficacia,"Este error puede ocasionar que la orden no se complete, por falta del medicamento."
1723,Eficacia,El sistema no permite cumplir el objetivo de ver antecedentes del paciente en consultas anteriores
1724,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1725,Ausencia de riesgo,Se genera un riesgo de pérdida económica para los usuarios.
1726,Eficiencia,"Hay un mal manejo del recurso del tiempo, al demorar mucho en el guardado"
1727,Eficacia,El usuario no logra cumplir con su objetivo de agendar una cita.
1728,Eficacia,"El sistema carece de precisión al generar un documento con datos erróneos. Esto impide que el personal de admisión cumpla su objetivo de emitir un comprobante válido y exacto, afectando la efectividad de la gestión administrativa."
1729,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1730,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1731,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1732,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1733,Eficacia,"La caída del módulo impide finalizar el proceso financiero, lo que resulta en un grado de completitud nulo para la tarea y bloquea por completo el objetivo del usuario."
1734,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1735,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1736,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1737,Cobertura de contexto,El sistema pierde funcionalidades al ser usado desde otro dispositivo
1738,Ausencia de riesgo,Se genera un riesgo de pérdida económica para los usuarios.
1739,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1740,Eficacia,"El bloqueo del sistema sin ofrecer retroalimentación impide totalmente que el personal de farmacia logre su objetivo de dispensar la medicación, resultando en un grado de completitud nulo para la tarea."
1741,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1742,Eficacia,"El sistema falla en la precisión al no actualizar el inventario tras la entrega. Esto impide que Farmacia cumpla el objetivo de mantener un registro exacto del stock, afectando la completitud y exactitud de la operación."
1743,Ausencia de riesgo,"Al no validarse la firma electrónica, se compromete la legalidad y autenticidad del registro clínico. Esto genera un riesgo regulatorio, legal y de seguridad de la información directo para el centro médico y el paciente."
1744,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1745,Eficacia,"El sistema falla en la precisión al no actualizar el inventario tras la entrega. Esto impide que Farmacia cumpla el objetivo de mantener un registro exacto del stock, afectando la completitud y exactitud de la operación."
1746,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
1747,Eficacia,"El fallo en el reconocimiento del convenio impide que el paciente alcance su objetivo de procesar su atención con la cobertura médica correspondiente, anulando la precisión y el éxito del trámite de admisión."
1748,Eficacia,"El sistema carece de precisión al permitir la asignación de un mismo turno a dos personas simultáneamente. Esto impide que al personal su objetivo de gestionar la agenda médica de forma correcta, generando un flujo de trabajo con datos inconsistentes."
1749,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1750,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1751,Eficacia,"El sistema falla en la precisión al no actualizar el inventario tras la entrega. Esto impide que Farmacia cumpla el objetivo de mantener un registro exacto del stock, afectando la completitud y exactitud de la operación."
1752,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1753,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1754,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1755,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1756,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1757,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1758,Eficacia,"El sistema carece de precisión al permitir la asignación de un mismo turno a dos personas simultáneamente. Esto impide que al personal su objetivo de gestionar la agenda médica de forma correcta, generando un flujo de trabajo con datos inconsistentes."
1759,Eficacia,"La pérdida de la nota clínica debido al cierre inesperado de sesión impide totalmente que el médico logre su objetivo de registrar la atención del paciente. Esto resulta en un grado de completitud nulo, anulando la efectividad de la tarea."
1760,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1761,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1762,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1763,Eficacia,"La pérdida de la nota clínica debido al cierre inesperado de sesión impide totalmente que el médico logre su objetivo de registrar la atención del paciente. Esto resulta en un grado de completitud nulo, anulando la efectividad de la tarea."
1764,Eficacia,"El sistema carece de precisión al permitir la asignación de un mismo turno a dos personas simultáneamente. Esto impide que al personal su objetivo de gestionar la agenda médica de forma correcta, generando un flujo de trabajo con datos inconsistentes."
1765,Eficiencia,El sistema no está optimizado para datos móviles y malgasta los recursos
1766,Ausencia de riesgo,La discrepancia crea el riesgo de pérdidas económicas o ganancias mal declaradas.
1767,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1768,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1769,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1770,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1771,Ausencia de riesgo,"La intermitencia en el acceso biométrico vulnera la fiabilidad de la autenticación del paciente, generando un riesgo directo de seguridad y exponiendo información médica confidencial a posibles accesos no autorizados."
1772,Eficacia,"La imposibilidad de compartir la pantalla impide que se cumpla el objetivo crítico de comunicar los resultados médicos de forma visual y precisa durante la teleconsulta, afectando el grado de completitud de la atención médica."
1773,Eficacia,"La imposibilidad de compartir la pantalla impide que se cumpla el objetivo crítico de comunicar los resultados médicos de forma visual y precisa durante la teleconsulta, afectando el grado de completitud de la atención médica."
